vm_id,collection_id,instance_index,cluster,cpu_request,mem_request,avg_cpu,avg_mem,max_cpu,max_mem,priority,priority_band,priority_norm,scheduling_class,collection_type,failed,hard_failed,duration_s,start_time,end_time,n_events,orig_machine_id,assigned_memory,cycles_per_instruction
VM123197,487300140443,1147,2,0.00958251953125,0.0152587890625,0.0001144409179687,0.0017375946044921,0.0006256103515625,0.001739501953125,103,best_effort,0.2288888888888889,2,0,0,0,300.0,1226400000000,1226700000000,1,30715046525,0.0172119140625,3.4686954021453857
VM124710,4741149133,4213,6,0.0014972686767578,0.0003366470336914,0.0006971359252929,0.0002698898315429,0.0019264221191406,0.0002822875976562,200,production,0.4444444444444444,2,0,1,1,300.0,1302900000000,1303200000000,1,19370948499,0.0004348754882812,1.918680548667908
VM242521,287652669929,49,7,0.0051956176757812,0.0103759765625,0.001413345336914,9.34600830078125e-05,0.0033760070800781,0.0001907348632812,103,best_effort,0.2288888888888889,1,0,0,0,5.0,1721174000000,1721179000000,1,3656074389,0.023406982421875,
VM06402,260725669813,1707,7,0.0111541748046875,0.0013027191162109,0.0063629150390625,0.006500244140625,0.029083251953125,0.0095977783203125,360,monitoring,0.8,2,0,1,0,300.0,1175100000000,1175400000000,3,10453809630,0.0,3.3660099506378174
VM04700,823800290622,2341,4,0.00994873046875,0.187744140625,0.0001249313354492,0.0005731582641601,0.0002717971801757,0.0005731582641601,105,best_effort,0.23333333333333334,1,0,1,0,4.0,2470193000000,2470197000000,1,78182457210,0.1009521484375,
VM96385,755686677250,10765,3,0.0066299438476562,0.0036849975585937,0.0002059936523437,0.001535415649414,0.0013847351074218,0.0016059875488281,105,best_effort,0.23333333333333334,0,0,0,0,300.0,1447200000000,1447500000000,2,710383050551,0.0032501220703125,3.973978996276856
VM202802,326995662958,69925,8,0.0056686401367187,0.00262451171875,0.0004005432128906,0.0003395080566406,0.0012378692626953,0.0007743835449218,0,free,0.0,0,0,0,0,4.0,2482342000000,2482346000000,1,8858314369,0.00262451171875,1.2813254594802856
VM124707,357875318529,4381,6,0.0081024169921875,0.0016155242919921,0.014678955078125,0.0011253356933593,0.02984619140625,0.0014629364013671,117,mid,0.26,1,0,0,0,300.0,1780500000000,1780800000000,1,2173036640,0.0022392272949218,0.6335251927375793
VM225913,35039733202,396,5,0.0056686401367187,0.00262451171875,0.0005035400390625,0.0040359497070312,0.0024070739746093,0.0040359497070312,200,production,0.4444444444444444,3,0,1,1,300.0,1043400000000,1043700000000,1,17007004125,0.0,2.396871328353882
VM91717,280881358282,1675,1,0.0498046875,0.0177001953125,0.06640625,0.00399398803710935,0.279296875,0.0054702758789062,103,best_effort,0.2288888888888889,3,0,0,0,633251.0,1397400000000,2030651000000,2,398195343582,0.0177001953125,0.6467981040477753
VM128885,755686677250,8128,3,0.0066299438476562,0.0036849975585937,0.0002059936523437,0.001535415649414,0.0013847351074218,0.0016059875488281,105,best_effort,0.23333333333333334,0,0,0,0,300.0,1447200000000,1447500000000,1,687927389715,0.0032501220703125,3.973978996276856
VM185808,275444470689,244,7,0.0056381225585937,0.0024642944335937,0.0,9.5367431640625e-05,0.0,9.5367431640625e-05,0,free,0.0,0,0,0,0,1.0,189723000000,189724000000,1,168848565071,0.0026054382324218,
VM22460,496921116211,5755,2,0.0081024169921875,0.0036125183105468,0.0,9.5367431640625e-07,0.0,9.5367431640625e-07,0,free,0.0,0,0,0,0,1.0,2152596000000,2152597000000,1,91081125,0.0036125183105468,
VM72354,479206638597,3350,2,0.0095977783203125,0.0097503662109375,0.0003204345703125,0.0069732666015625,0.0013809204101562,0.0069808959960937,103,best_effort,0.2288888888888889,1,0,0,0,300.0,1071900000000,1072200000000,1,226027516173,0.008697509765625,3.705334186553955
VM45231,218059363361,931,5,0.0789794921875,0.0390625,0.074462890625,0.027008056640625,0.1640625,0.02728271484375,360,monitoring,0.8,2,1,0,0,300.0,183300000000,183600000000,1,155120317186,0.04296875,
VM236384,815322757780,2475,4,0.0081024169921875,0.0036125183105468,0.0133514404296875,0.0033645629882812,0.0714111328125,0.0036125183105468,0,free,0.0,0,0,0,0,300.0,2001900000000,2002200000000,1,3648203940,0.0036125183105468,0.8808229565620422
