scenario,n_servers_in_fleet,method,status,runtime_s,placement_valid,n_vms,n_servers_available,n_active_servers,n_inactive_servers,n_unplaced_vms,energy_wh,energy_normalised,mean_power_w,wastage,wastage_normalised,qos_overcommit,qos_normalised,qos_failure_proxy,weighted_objective,cpu_util_active_mean,mem_util_active_mean,cpu_util_peak_active_mean,mem_util_peak_active_mean,cpu_util_fleet,mem_util_fleet,wastage_pct_active,n_capacity_violations,total_cpu_overflow,total_mem_overflow,n_servers_over_threshold,failed_vms,build_time_s,solve_time_s,n_binary_vars,n_constraints,milp_solution_used,milp_lower_bound,milp_proven_optimal,objective_mismatch,objective_value,mip_gap,alpha,beta,gamma,pareto_optimal
"a=0.20,b=0.80,g=0.00",11,"a=0.20,b=0.80,g=0.00",Optimal,3.0241722999780905,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,7.689512630038786,0.5345324921996356,0.456,0.2411420486912587,0.8350934982299799,0.5140387217203765,1.404470602671305,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.47854959999676794,2.5456226999813225,2761,3077,1,,1,1.2077061573023684e-10,0.2411420488120293,0.0,0.2,0.8,0.0,False
"a=0.40,b=0.00,g=0.60",11,"a=0.40,b=0.00,g=0.60",Optimal,3.193178399989847,1,250,11,11,0,0,2010.4282633463524,0.45691551439689826,2010.4282633463524,14.976174354553233,0.6807351979342379,2.688338768217294,0.1868784786227525,0.456,0.29489329293241084,0.4555055444890799,0.28038475730202356,0.766074874184348,0.14957662062211396,0.4555055444890799,0.28038475730202356,54.44944555109201,0,0.0,0.0,9,114,0.4716494999884162,2.721528900001431,2761,3077,1,,1,7.660758138960944e-10,0.29489329216633503,0.0,0.4,0.0,0.6,False
"a=0.40,b=0.20,g=0.40",11,"a=0.40,b=0.20,g=0.40",Optimal,18.64995949997683,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.901252746582044,0.22278421575372925,7.033189716339106,0.4889085444116928,0.456,0.3683410121287277,0.8350934982299799,0.5140387217203765,1.4044706026713047,0.27422380447387557,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.48488189998897724,18.165077599987853,2761,3077,1,0.365,1,1.0357483204437301e-09,0.3683410110929794,0.01,0.4,0.2,0.4,False
"a=0.40,b=0.40,g=0.20",11,"a=0.40,b=0.40,g=0.20",Optimal,3.663631599978544,1,250,11,6,5,0,1410.4282633463524,0.3205518780332619,1410.4282633463524,4.873537063598644,0.22152441198175657,6.938136782116355,0.4823009888661706,0.456,0.3132907137792415,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700203,0,0.0,0.0,6,114,0.45975959999486804,3.2038719999836758,2761,3077,1,0.313,1,1.9392121242134408e-10,0.3132907135853203,0.0,0.4,0.4,0.2,False
"a=0.40,b=0.60,g=0.00",11,"a=0.40,b=0.60,g=0.00",Optimal,3.490831300005084,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,7.689512630038786,0.5345324921996356,0.456,0.2609945060267595,0.8350934982299799,0.5140387217203765,1.404470602671305,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.5904580999922473,2.9003732000128366,2761,3077,1,,1,9.057798955325325e-11,0.2609945061173375,0.0,0.4,0.6,0.0,False
"a=0.60,b=0.00,g=0.40",11,"a=0.60,b=0.00,g=0.40",Optimal,3.093739700008882,1,250,11,11,0,0,2010.4282633463524,0.45691551439689826,2010.4282633463524,15.092236518859874,0.686010750857267,2.77011126624213,0.192562851516797,0.456,0.35117444924485774,0.4555055444890799,0.28038475730202356,0.766074874184348,0.14957662062211396,0.4555055444890799,0.28038475730202356,54.44944555109201,0,0.0,0.0,7,114,0.3639417999947909,2.7297979000140913,2761,3077,1,0.349,1,5.49383372128176e-10,0.3511744497942411,0.01,0.6,0.0,0.4,False
"a=0.60,b=0.20,g=0.20",11,"a=0.60,b=0.20,g=0.20",Optimal,14.37143160001142,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.8709554672241335,0.22140706669200608,6.938272798326274,0.4823104439626333,0.456,0.333074628950885,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700203,0,0.0,0.0,6,114,0.6553333000047132,13.716098300006706,2761,3077,1,0.333,1,6.973200350479658e-10,0.333074628253565,0.0,0.6,0.2,0.2,False
"a=0.60,b=0.40,g=0.00",11,"a=0.60,b=0.40,g=0.00",Optimal,3.14864659999148,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,7.689512630038786,0.5345324921996356,0.456,0.28084696336226034,0.8350934982299799,0.5140387217203765,1.404470602671305,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.38588159999926575,2.762764999992214,2761,3077,1,,1,6.03850858205135e-11,0.2808469634226454,0.0,0.6,0.4,0.0,False
"a=0.80,b=0.00,g=0.20",11,"a=0.80,b=0.00,g=0.20",Optimal,24.23299109999789,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,5.090329170227063,0.2313785986466847,6.938136782116354,0.48230098886617057,0.456,0.3529017001998437,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.28038475730202356,16.49065017700203,0,0.0,0.0,6,114,0.5023165000020526,23.730674599995837,2761,3077,1,,1,3.63093055621988e-10,0.3529016998367506,0.0,0.8,0.0,0.2,False
"a=0.80,b=0.20,g=0.00",11,"a=0.80,b=0.20,g=0.00",Optimal,3.2658299999893643,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,7.689512630038786,0.5345324921996356,0.456,0.3006994206977611,0.8350934982299799,0.5140387217203765,1.404470602671305,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.5965382999856956,2.6692917000036687,2761,3077,1,,1,3.019284822158852e-11,0.30069942072795397,0.0,0.8,0.2,0.0,False
